Handle;Title;Body (HTML);Vendor;Product Category;Published;Variant SKU;Variant Price;Cost per item;Variant Inventory Tracker;Variant Inventory Qty;Image Src;Image Position;Variant Requires Shipping;Variant Barcode;Status
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_1_2.jpg;3;;;
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_1_1.jpg;4;;;
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_1_3.jpg;5;;;
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_0_1.jpg;6;;;
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_0_3.jpg;7;;;
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_0_2.jpg;8;;;
1003-004;Rotterdam Sofa Set Grey Grey;"<div><p>Rotterdam Loungeset impresses with its luxurious, relaxed design and straight Nordic shapes. Made of durable gray wicker and steel with associated matching table with a glass top plate. Comfortable cushions in gray are included and the group holds a total of 3 seated guests. Table Dimensions: 65x65x30 cm. Sofa Dimensions: 202x78x64 cm. SITTING: 176x65x30 cm. Here you and your guests can sit quietly for hours!
  
  Care advice:
  Konstrite is a plastic material that is perfect for our Scandinavian climate. The material is UV-resistant and can withstand weather and wind. The fact that it is UV-resistant means that the furniture does not fade, however, we always recommend storing the furniture under a furniture protection or otherwise dry and cool-to extend the service life.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour Table: Grey<br/>Main Colour Sofa: Grey<br/></p><p><strong>Material</strong><br/>Material Table Top: Glass<br/>Main Material Sofa: Steel<br/>Material Legs Table : Steel,Wicker<br/></p><p><strong>Dimensions</strong><br/>Sofa Width: 202x160<br/>Sofa Depth: 60<br/>Sofa Height: 64<br/>Table Width: 65<br/>Table Length: 65<br/>Table Height: 30<br/>Armrest Height Sofa: 64<br/>Table Top Thickness Table 1: 0.5<br/>Armrest Width Sofa: 13<br/></p><p><strong>Other</strong><br/>Cushion Included?: Yes<br/></p>";VENTURE DESIGN;Sofa Set;TRUE;1003-004;0;2099.00;shopify;7;https://api.venturedesign.se//assets/products/1200x/1003-004_H_0_0.jpg;1;TRUE;"	7350118410912";draft
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_1_0.jpg;2;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_1_4.jpg;3;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_1_3.jpg;4;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_1_2.jpg;5;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_1_1.jpg;6;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_0_1.jpg;7;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_0_2.jpg;8;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_0_4.jpg;9;;;
1003-004;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1003-004_H_0_3.jpg;10;;;
1005-195;Berlin Corner Sofa Set Black Black;"<div><p>Create an inviting oasis on your patio this summer! Berlin sofa group is a nice and stylish group in black steel and braided rope with associated, matching coffee table that has a stylish top plate in glass. Durable cushions in gray are included and the group holds a total of 6 sitting guests. Table Dimensions: 120x70x66 cm. Sofa Dimensions: 193/173x63.5x69.5 cm. Sita dimensions: 178/169x52x32 cm. Easier mounting is required. Here you and your guests can conveniently enjoy late summer evenings!
  
  Care advice:
  Our ropes are quality -spun polyester rope that is easy to clean. The furniture is treated to pass 500-2000 hours. We recommend soap and water for cleaning. Allow to air dry. For the areas that are more difficult to access, a small brush can be used carefully. Never use high pressure washer or strong chemicals to clean the rope.
  
  & nbsp;</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour Table: Black<br/>Main Colour Sofa: Black<br/>Main Colour: Black<br/></p><p><strong>Material</strong><br/>Material Total Table: Polyester Rope,Spraystone,Steel<br/>Material total Sofa: Polyester,Polyester Rope, Steel<br/>Main Material Sofa: Steel<br/>Main Material Table: Steel<br/>Material Legs Sofa  : Steel<br/>Material Legs Table : Steel<br/></p><p><strong>Dimensions</strong><br/>Sofa Width: 193|173<br/>Sofa Depth: 63.5<br/>Sofa Height: 69.5<br/>Seat Width Sofa: 178<br/>Seat Height Sofa: 32<br/>Table Length: 120<br/>Table Width: 70<br/>Table Height: 66<br/>Seat Depth Sofa: 52<br/></p><p><strong>Other</strong><br/>Weight Capacity Sofa: 250<br/>Weight Capacity Table: 50<br/>Cushion Included?: Yes<br/></p>";VENTURE DESIGN;Corner Sofa Set;TRUE;1005-195;0;4059.00;shopify;74;https://api.venturedesign.se//assets/products/1200x/1005-195_H_0_0.jpg;1;TRUE;"	7350118411704";draft
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_1_0.jpg;2;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_1_3.jpg;3;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_1_2.jpg;4;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_1_4.jpg;5;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_1_1.jpg;6;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_0_4.jpg;7;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_0_3.jpg;8;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_0_1.jpg;9;;;
1005-195;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1005-195_H_0_2.jpg;10;;;
1006-001;Bilbao Sun Lounge;<div><p>Stylish and comfortable sunbed in black artificial rattan. The back of the chair is adjustable, gray sunbed cushion is included. Enjoy all summer moments - neat and comfortable!</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Black<br/></p><p><strong>Material</strong><br/>Material total seat/back: Wicker<br/>Material Legs: Steel,Wicker<br/></p><p><strong>Dimensions</strong><br/>Overall Height: 81<br/>Overall Width: 59<br/>Seat Height: 30<br/>Seat Width: 59<br/>Seat Depth: 134<br/>Overall Depth: 198<br/></p><p><strong>Other</strong><br/>Finish / Coating: Powder coating<br/>Cushion Included?: Yes<br/>Weight Capacity: 120,00<br/>Wheels Included: No<br/></p>;VENTURE DESIGN;Sun Lounge;TRUE;1006-001;0;719.00;shopify;20;https://api.venturedesign.se//assets/products/1200x/1006-001_1__13.jpg;1;TRUE;"	7350118411452";draft
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_H_1_0.jpeg;2;;;
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_H_1_1.jpg;3;;;
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_H_1_2.jpg;4;;;
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_1__10.jpg;5;;;
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_1__12.jpg;6;;;
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_1__15.jpg;7;;;
1006-001;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1006-001_1__14.jpg;8;;;
1007-318;Hanna Cushion 5-pos 116 x 46;<div><p>Classic and stylish gray position pad, provided with pillow and straps. The straps help to hold the cushion in place. Enjoy your lovely summer days!</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Black<br/></p><p><strong>Material</strong><br/>Material Fabric: Polyester<br/></p><p><strong>Dimensions</strong><br/>Overall Width: 46<br/>SEAT CUSHION THICKNESS: 5.5<br/></p><p><strong>Other</strong><br/>Removable Cushion Cover: No<br/></p>;VENTURE DESIGN;Cushion 5-pos;TRUE;1007-318;0;119.00;shopify;334;https://api.venturedesign.se//assets/products/1200x/1007-318_H_1_0.jpg;1;TRUE;"	7350118411476";draft
1007-318;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1007-318_H_1_1.jpg;2;;;
1007-318;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1007-318_H_1_2.jpg;3;;;
1007-331;Hanna Cushion 5-pos 116 x 46;<div><p>Classic and stylish black position pad, provided with pillow and straps. The straps help to hold the cushion in place. Enjoy your lovely summer days!</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Grey<br/></p><p><strong>Material</strong><br/>Material Fabric: Polyester<br/></p><p><strong>Dimensions</strong><br/>Overall Width: 46<br/>SEAT CUSHION THICKNESS: 5.5<br/></p><p><strong>Other</strong><br/>Removable Cushion Cover: No<br/></p>;VENTURE DESIGN;Cushion 5-pos;TRUE;1007-331;0;119.00;shopify;14;https://api.venturedesign.se//assets/products/1200x/1007-331_H_1_0.jpg;1;TRUE;"	7350118411483";draft
1007-331;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1007-331_H_1_1.jpg;2;;;
1007-331;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1007-331_H_1_2.jpg;3;;;
1008-318;Hanna Cushion 5-pos 116 x 46;<div><p>Classic and stylish black position pad, provided with straps. The straps help to hold the cushion in place. Enjoy your lovely summer days!</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Black<br/></p><p><strong>Material</strong><br/>Material Fabric: Polyester<br/></p><p><strong>Dimensions</strong><br/>Overall Width: 46<br/>SEAT CUSHION THICKNESS: 5.5<br/></p><p><strong>Other</strong><br/>Removable Cushion Cover: No<br/></p>;VENTURE DESIGN;Cushion 5-pos;TRUE;1008-318;0;99.00;shopify;89;https://api.venturedesign.se//assets/products/1200x/1008-318_H_1_0.jpg;1;TRUE;"	7350118411490";draft
1008-318;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1008-318_H_1_1.jpg;2;;;
1008-318;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1008-318_H_1_2.jpg;3;;;
1008-331;Hanna Cushion 5-pos 116 x 46;<div><p>Classic and stylish gray position pad, equipped straps. The straps help to hold the cushion in place. Enjoy your lovely summer days!</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Grey<br/></p><p><strong>Material</strong><br/>Material Fabric: Polyester<br/></p><p><strong>Dimensions</strong><br/>Overall Width: 46<br/>SEAT CUSHION THICKNESS: 5.5<br/></p><p><strong>Other</strong><br/>Removable Cushion Cover: No<br/></p>;VENTURE DESIGN;Cushion 5-pos;TRUE;1008-331;0;99.00;shopify;0;https://api.venturedesign.se//assets/products/1200x/1008-331_H_1_0.jpg;1;TRUE;"	7350118411506";draft
1008-331;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1008-331_H_1_1.jpg;2;;;
1008-331;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1008-331_H_1_2.jpg;3;;;
1010-500;Klas Furniture Cover 44 x 181 x 52;<div><p>Take care of your heater this summer and use a practical cover from the Klas series! With a protection for your heater, you can keep your gas heater in fine condition for many years. Suitable for heaters Hottie Square.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Grey<br/></p><p><strong>Material</strong><br/>Main Material: Polyester<br/>Material Composition %: 100% Polyester<br/></p><p><strong>Dimensions</strong><br/>Overall Height: 44<br/>Overall Width: 52<br/></p>;VENTURE DESIGN;Furniture Cover;TRUE;1010-500;0;139.00;shopify;47;https://api.venturedesign.se//assets/products/1200x/1010-500_2_m.jpg;1;TRUE;"	7350107082748";draft
1010-500;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1010-500_H_1_0.jpg;2;;;
1012-400;Tiana Cushion Box 90 x 150 x 100;"<div><p>Tiana is incredibly smart and practical for storing your cushions and other outdoor environment items. Take care of your cushions properly with the help of a stylish Dynbox - it can extend the service life!
  
  We are tips!
  Aluminum and stainless steel cushion should be cleaned regularly with water and mild soap. Always rinse thoroughly with plenty of water, which becomes extra important if the furniture is placed at a sea -close distance where salt can be transported through the air. The salt can lead to corrosion that can cause flaking or bubbles in the varnish. Do not wash the dune box with high pressure washer, the surface can be damaged by the high pressure.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: White<br/></p><p><strong>Material</strong><br/>Material Frame: Aluminum<br/>Main Material: Aluminum<br/></p><p><strong>Dimensions</strong><br/>Overall Height: 100<br/>Overall Width: 150<br/>Overall Depth: 90<br/></p><p><strong>Other</strong><br/>Inner Bag Included: Yes<br/></p>";VENTURE DESIGN;Cushion Box;TRUE;1012-400;0;2519.00;shopify;7;https://api.venturedesign.se//assets/products/1200x/1012-400_H_0_0.jpg;1;TRUE;"	7350118410301";draft
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_1.jpg;2;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_0.jpg;3;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_9.jpg;4;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_4.jpg;5;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_5.jpg;6;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_3.jpg;7;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_6.jpg;8;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_7.jpg;9;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_1_8.jpg;10;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_0_6.jpg;11;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_0_4.jpg;12;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_0_1.jpg;13;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_0_5.jpg;14;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_0_2.jpg;15;;;
1012-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1012-400_H_0_3.jpg;16;;;
1013-404;Seville Sun Lounge;<div><p>Incredibly comfortable and practical gray lounger. Perfect to have on the balcony or carry down to the beach. The chair has a pillow that can be folded away. Easy and easy to fold.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Grey<br/></p><p><strong>Material</strong><br/>Material total seat/back: Polyester<br/>Material Legs: Steel<br/></p><p><strong>Dimensions</strong><br/>Overall Height: 89<br/>Overall Width: 63<br/>Seat Height: 23<br/>Seat Width: 61<br/>Seat Depth: 37<br/>Overall Depth: 84<br/></p><p><strong>Other</strong><br/>Finish / Coating: Powder Coating<br/>Cushion Included?: Yes<br/>Weight Capacity: 120,00<br/></p>;VENTURE DESIGN;Sun Lounge;TRUE;1013-404;0;209.00;shopify;262;https://api.venturedesign.se//assets/products/1200x/1013-404_H_0_4.jpg;1;TRUE;"	7350118411544";draft
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_1_1.jpg;2;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_1_0.jpg;3;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_1_2.jpg;4;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_1_4.jpg;5;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_1_3.jpg;6;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_0_1.jpg;7;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_0_0.jpg;8;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_0_3.jpg;9;;;
1013-404;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-404_H_0_2.jpg;10;;;
1013-408;Seville Sun Lounge;<div><p>Incredibly comfortable and practical black lounger. Perfect to have on the balcony or carry down to the beach. The chair has a pillow that can be folded away. Easy and easy to fold.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Black<br/></p><p><strong>Material</strong><br/>Material total seat/back: Polyester<br/>Material Legs: Steel<br/></p><p><strong>Dimensions</strong><br/>Overall Height: 89<br/>Overall Width: 63<br/>Seat Height: 23<br/>Seat Width: 61<br/>Seat Depth: 37<br/>Overall Depth: 84<br/></p><p><strong>Other</strong><br/>Finish / Coating: Powder Coating<br/>Cushion Included?: Yes<br/>Weight Capacity: 120,00<br/></p>;VENTURE DESIGN;Sun Lounge;TRUE;1013-408;0;209.00;shopify;26;https://api.venturedesign.se//assets/products/1200x/1013-408_H_0_4.jpg;1;TRUE;"	7350118411551";draft
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_1_1.jpg;2;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_1_0.jpg;3;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_1_3.jpg;4;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_1_2.jpg;5;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_0_2.jpg;6;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_0_3.jpg;7;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_0_0.jpg;8;;;
1013-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1013-408_H_0_1.jpg;9;;;
1016-408;Madras Porch Swing Black;<div><p>Enjoy the summer in the best possible way - with our hammock Madras. The hammock has three seats and a roof made of PVC and polyester, the frame is made of steel. Place it on the patio and spend long days and evenings with family and friends, or why not sit yourself down with your favorite book.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour: Black<br/></p><p><strong>Material</strong><br/>Material Frame: Steel<br/>Material Fabric: PVC,Polyester<br/>Material Canopy: Polyester<br/>Main Material: Steel<br/></p><p><strong>Dimensions</strong><br/>Overall Height: 160<br/>Overall Width: 203<br/>Overall Depth: 122<br/>Seat Width: 154<br/>Seat Depth: 46<br/></p><p><strong>Other</strong><br/>NUMBER OF SEATINGS: 3<br/>Cushion Included?: No<br/></p>;VENTURE DESIGN;Porch Swing;TRUE;1016-408;0;649.00;shopify;0;https://api.venturedesign.se//assets/products/1200x/1016-408_H_0_0.jpg;1;TRUE;"	7350118411575";draft
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_1_0.jpg;2;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_1_4.jpg;3;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_1_1.jpg;4;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_1_3.jpg;5;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_1_2.jpg;6;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_0_3.jpg;7;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_0_2.jpg;8;;;
1016-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1016-408_H_0_1.jpg;9;;;
